No.,Course Code,Course Title,Level/Semester,Department,Credit Unit,Lecturer id
36,MAT 3636,Statistical Inference,300 / 2nd,MATHEMATICS,4,ST / MAT / 151
37,MAT 3737,Multivariable Calculus,300 / 2nd,MATHEMATICS,3,ST / MAT / 152
38,MAT 3838,Differential Geometry,300 / 2nd,MATHEMATICS,3,ST / MAT / 153
39,MAT 3939,Operations Research,400 / 1st,MATHEMATICS,2,ST / MAT / 154
40,MAT 4040,Bayesian Statistics,400 / 1st,MATHEMATICS,1,ST / MAT / 155
41,MAT 4141,Mathematical Physics,400 / 1st,MATHEMATICS,1,ST / MAT / 101
42,MAT 4242,Algebraic Geometry,400 / 1st,MATHEMATICS,2,ST / MAT / 102
43,MAT 4343,Advanced Linear Algebra,400 / 1st,MATHEMATICS,4,ST / MAT / 103
44,MAT 4444,Actuarial Mathematics,400 / 1st,MATHEMATICS,2,ST / MAT / 104
45,MAT 4545,Computational Fluid Dynamics,400 / 2nd,MATHEMATICS,1,ST / MAT / 105
46,MAT 4646,Time Series Analysis,400 / 2nd,MATHEMATICS,1,ST / MAT / 151
47,MAT 4747,Data Analysis and Visualization,400 / 2nd,MATHEMATICS,1,ST / MAT / 152
48,MAT 4848,Theoretical Computer Science,400 / 2nd,MATHEMATICS,1,ST / MAT / 153
49,MAT 4949,Advanced Probability,400 / 2nd,MATHEMATICS,3,ST / MAT / 154
50,MAT 5050,Geometric Group Theory,400 / 2nd,MATHEMATICS,2,ST / MAT / 155
1,BIO 101,Introduction to Biology,100 / 1st,BIOLOGY,2,ST / BIO / 111
2,BIO 202,Cell Biology,100 / 1st,BIOLOGY,3,ST / BIO / 112
3,BIO 303,Genetics,100 / 1st,BIOLOGY,3,ST / BIO / 113
4,BIO 404,Evolutionary Biology,100 / 1st,BIOLOGY,3,ST / BIO / 114
5,BIO 505,Microbiology,100 / 1st,BIOLOGY,3,ST / BIO / 115
6,BIO 606,Molecular Biology,100 / 1st,BIOLOGY,3,ST / BIO / 161
7,BIO 707,Ecology,100 / 2nd,BIOLOGY,3,ST / BIO / 162
8,BIO 808,Human Anatomy and Physiology,100 / 2nd,BIOLOGY,1,ST / BIO / 163
9,BIO 909,Biochemistry,100 / 2nd,BIOLOGY,3,ST / BIO / 164
10,BIO 1010,Plant Biology,100 / 2nd,BIOLOGY,1,ST / BIO / 165
11,BIO 1111,Animal Behavior,100 / 2nd,BIOLOGY,3,ST / BIO / 111
12,BIO 1212,Marine Biology,100 / 2nd,BIOLOGY,1,ST / BIO / 112
13,BIO 1313,Developmental Biology,200 / 1st,BIOLOGY,3,ST / BIO / 113
14,BIO 1414,Immunology,200 / 1st,BIOLOGY,2,ST / BIO / 114
15,BIO 1515,Neurobiology,200 / 1st,BIOLOGY,4,ST / BIO / 115
16,BIO 1616,Conservation Biology,200 / 1st,BIOLOGY,4,ST / BIO / 161
17,BIO 1717,Biotechnology,200 / 1st,BIOLOGY,1,ST / BIO / 162
18,BIO 1818,Environmental Biology,200 / 1st,BIOLOGY,3,ST / BIO / 163
19,BIO 1919,Parasitology,200 / 2nd,BIOLOGY,4,ST / BIO / 164
20,BIO 2020,Endocrinology,200 / 2nd,BIOLOGY,3,ST / BIO / 165
21,BIO 2121,Virology,200 / 2nd,BIOLOGY,4,ST / BIO / 111
22,BIO 2222,Evolutionary Genetics,200 / 2nd,BIOLOGY,4,ST / BIO / 112
23,BIO 2323,Invertebrate Zoology,200 / 2nd,BIOLOGY,3,ST / BIO / 113
24,BIO 2424,Vertebrate Zoology,200 / 2nd,BIOLOGY,1,ST / BIO / 114
25,BIO 2525,Freshwater Biology,300 / 1st,BIOLOGY,1,ST / BIO / 115
26,BIO 2626,Behavioral Ecology,300 / 1st,BIOLOGY,4,ST / BIO / 161
27,BIO 2727,Genomics,300 / 1st,BIOLOGY,2,ST / BIO / 162
28,BIO 2828,Bioinformatics,300 / 1st,BIOLOGY,3,ST / BIO / 163
29,BIO 2929,Paleobiology,300 / 1st,BIOLOGY,1,ST / BIO / 164
30,BIO 3030,Forensic Biology,300 / 1st,BIOLOGY,3,ST / BIO / 165
31,BIO 3131,Comparative Anatomy,300 / 2nd,BIOLOGY,2,ST / BIO / 111
32,BIO 3232,Biostatistics,300 / 2nd,BIOLOGY,3,ST / BIO / 112
33,BIO 3333,Plant Physiology,300 / 2nd,BIOLOGY,1,ST / BIO / 113
34,BIO 3434,Aquatic Ecology,300 / 2nd,BIOLOGY,3,ST / BIO / 114
35,BIO 3535,Evolution of Development,300 / 2nd,BIOLOGY,1,ST / BIO / 115
36,BIO 3636,Disease Ecology,300 / 2nd,BIOLOGY,3,ST / BIO / 161
37,BIO 3737,Biomedical Ethics,300 / 2nd,BIOLOGY,3,ST / BIO / 162
38,BIO 3838,Ecotoxicology,300 / 2nd,BIOLOGY,4,ST / BIO / 163
39,BIO 3939,Human Genetics,400 / 1st,BIOLOGY,2,ST / BIO / 164
40,BIO 4040,Molecular Evolution,400 / 1st,BIOLOGY,2,ST / BIO / 165
41,BIO 4141,Ecological Modeling,400 / 1st,BIOLOGY,4,ST / BIO / 111
42,BIO 4242,Biodiversity,400 / 1st,BIOLOGY,3,ST / BIO / 112
43,BIO 4343,Immunogenetics,400 / 1st,BIOLOGY,4,ST / BIO / 113
44,BIO 4444,Cellular Signaling,400 / 1st,BIOLOGY,3,ST / BIO / 114
45,BIO 4545,Population Biology,400 / 2nd,BIOLOGY,4,ST / BIO / 115
46,BIO 4646,Structural Biology,400 / 2nd,BIOLOGY,4,ST / BIO / 161
47,BIO 4747,Human Evolution,400 / 2nd,BIOLOGY,2,ST / BIO / 162
48,BIO 4848,Tropical Biology,400 / 2nd,BIOLOGY,4,ST / BIO / 163
49,BIO 4949,Bioenergetics,400 / 2nd,BIOLOGY,3,ST / BIO / 164
50,BIO 5050,Applied Microbiology,400 / 2nd,BIOLOGY,2,ST / BIO / 165
1,CHE 101,General Chemistry I,100 / 1st,CHEMISTRY,2,ST / CHE / 116
2,CHE 202,Organic Chemistry I,100 / 1st,CHEMISTRY,3,ST / CHE / 117
3,CHE 303,Inorganic Chemistry,100 / 1st,CHEMISTRY,1,ST / CHE / 118
4,CHE 404,Analytical Chemistry,100 / 1st,CHEMISTRY,2,ST / CHE / 119
5,CHE 505,Physical Chemistry,100 / 1st,CHEMISTRY,2,ST / CHE / 120
6,CHE 606,Chemical Thermodynamics,100 / 1st,CHEMISTRY,4,ST / CHE / 166
7,CHE 707,General Chemistry II,100 / 2nd,CHEMISTRY,3,ST / CHE / 167
8,BIO 909,Biochemistry,100 / 2nd,CHEMISTRY,1,ST / CHE / 168
9,CHE 909,Advanced Organic Chemistry,100 / 2nd,CHEMISTRY,3,ST / CHE / 169
10,CHE 1010,Quantum Chemistry,100 / 2nd,CHEMISTRY,3,ST / CHE / 170
11,CHE 1111,Organic Chemistry II,100 / 2nd,CHEMISTRY,1,ST / CHE / 116
12,CHE 1212,Instrumental Analysis,100 / 2nd,CHEMISTRY,1,ST / CHE / 117
13,CHE 1313,Environmental Chemistry,200 / 1st,CHEMISTRY,3,ST / CHE / 118
14,CHE 1414,Polymer Chemistry,200 / 1st,CHEMISTRY,3,ST / CHE / 119
15,CHE 1515,Medicinal Chemistry,200 / 1st,CHEMISTRY,2,ST / CHE / 120
16,CHE 1616,Materials Chemistry,200 / 1st,CHEMISTRY,3,ST / CHE / 166
17,CHE 1717,Computational Chemistry,200 / 1st,CHEMISTRY,3,ST / CHE / 167
18,CHE 1818,Chemical Kinetics,200 / 1st,CHEMISTRY,1,ST / CHE / 168
19,CHE 1919,Electrochemistry,200 / 2nd,CHEMISTRY,3,ST / CHE / 169
20,CHE 2020,Surface Chemistry,200 / 2nd,CHEMISTRY,3,ST / CHE / 170
21,CHE 2121,Coordination Chemistry,200 / 2nd,CHEMISTRY,3,ST / CHE / 116
22,CHE 2222,Organometallic Chemistry,200 / 2nd,CHEMISTRY,4,ST / CHE / 117
23,CHE 2323,Spectroscopy,200 / 2nd,CHEMISTRY,4,ST / CHE / 118
24,CHE 2424,Nuclear Chemistry,200 / 2nd,CHEMISTRY,1,ST / CHE / 119
25,CHE 2525,Chemical Biology,300 / 1st,CHEMISTRY,3,ST / CHE / 120
26,CHE 2626,Solid State Chemistry,300 / 1st,CHEMISTRY,1,ST / CHE / 166
27,CHE 2727,Advanced Inorganic Chemistry,300 / 1st,CHEMISTRY,3,ST / CHE / 167
28,CHE 2828,Bioinorganic Chemistry,300 / 1st,CHEMISTRY,1,ST / CHE / 168
29,CHE 2929,Industrial Chemistry,300 / 1st,CHEMISTRY,1,ST / CHE / 169
30,CHE 3030,Forensic Chemistry,300 / 1st,CHEMISTRY,3,ST / CHE / 170
31,CHE 3131,Green Chemistry,300 / 2nd,CHEMISTRY,4,ST / CHE / 116
32,CHE 3232,Food Chemistry,300 / 2nd,CHEMISTRY,1,ST / CHE / 117
33,CHE 3333,Atmospheric Chemistry,300 / 2nd,CHEMISTRY,1,ST / CHE / 118
34,CHE 3434,Chemical Oceanography,300 / 2nd,CHEMISTRY,2,ST / CHE / 119
35,CHE 3535,Chemical Separations,300 / 2nd,CHEMISTRY,2,ST / CHE / 120
36,CHE 3636,Nanochemistry,300 / 2nd,CHEMISTRY,1,ST / CHE / 166
37,CHE 3737,Photochemistry,300 / 2nd,CHEMISTRY,2,ST / CHE / 167
38,CHE 3838,Supramolecular Chemistry,300 / 2nd,CHEMISTRY,2,ST / CHE / 168
39,CHE 3939,Theoretical Chemistry,400 / 1st,CHEMISTRY,4,ST / CHE / 169
40,CHE 4040,Enzyme Chemistry,400 / 1st,CHEMISTRY,1,ST / CHE / 170
41,CHE 4141,Advanced Analytical Techniques,400 / 1st,CHEMISTRY,2,ST / CHE / 116
42,CHE 4242,Crystallography,400 / 1st,CHEMISTRY,1,ST / CHE / 117
43,CHE 4343,Chemical Informatics,400 / 1st,CHEMISTRY,4,ST / CHE / 118
44,CHE 4444,Chemical Safety and Toxicology,400 / 1st,CHEMISTRY,1,ST / CHE / 119
45,CHE 4545,Laboratory Techniques in Chemistry,400 / 2nd,CHEMISTRY,2,ST / CHE / 120
46,CHE 4646,Environmental Toxicology,400 / 2nd,CHEMISTRY,3,ST / CHE / 166
47,CHE 4747,Industrial Catalysis,400 / 2nd,CHEMISTRY,2,ST / CHE / 167
48,CHE 4848,X-ray Diffraction and Analysis,400 / 2nd,CHEMISTRY,3,ST / CHE / 168
49,CHE 4949,Chemical Education and Pedagogy,400 / 2nd,CHEMISTRY,2,ST / CHE / 169
50,CHE 5050,Advanced Biochemistry,400 / 2nd,CHEMISTRY,3,ST / CHE / 170
1,PHY 101,General Physics I,100 / 1st,PHYSICS,1,ST / PHY / 121
2,PHY 202,General Physics II,100 / 1st,PHYSICS,1,ST / PHY / 122
3,PHY 303,Classical Mechanics,100 / 1st,PHYSICS,2,ST / PHY / 123
4,PHY 404,Electromagnetism,100 / 1st,PHYSICS,3,ST / PHY / 124
5,PHY 505,Modern Physics,100 / 1st,PHYSICS,3,ST / PHY / 125
6,PHY 606,Quantum Mechanics I,100 / 1st,PHYSICS,2,ST / PHY / 171
7,PHY 707,Quantum Mechanics II,100 / 2nd,PHYSICS,2,ST / PHY / 172
8,PHY 808,Thermodynamics,100 / 2nd,PHYSICS,2,ST / PHY / 173
9,PHY 909,Statistical Mechanics,100 / 2nd,PHYSICS,3,ST / PHY / 174
10,PHY 1010,Optics,100 / 2nd,PHYSICS,4,ST / PHY / 175
11,PHY 1111,Solid State Physics,100 / 2nd,PHYSICS,1,ST / PHY / 121
12,PHY 1212,Nuclear Physics,100 / 2nd,PHYSICS,2,ST / PHY / 122
13,PHY 1313,Particle Physics,200 / 1st,PHYSICS,3,ST / PHY / 123
14,PHY 1414,Computational Physics,200 / 1st,PHYSICS,1,ST / PHY / 124
15,PHY 1515,Astrophysics,200 / 1st,PHYSICS,2,ST / PHY / 125
16,PHY 1616,Cosmology,200 / 1st,PHYSICS,2,ST / PHY / 171
17,PHY 1717,Relativity,200 / 1st,PHYSICS,4,ST / PHY / 172
18,PHY 1818,Plasma Physics,200 / 1st,PHYSICS,4,ST / PHY / 173
19,PHY 1919,Mathematical Methods in Physics,200 / 2nd,PHYSICS,3,ST / PHY / 174
20,PHY 2020,Experimental Physics,200 / 2nd,PHYSICS,4,ST / PHY / 175
21,PHY 2121,Condensed Matter Physics,200 / 2nd,PHYSICS,4,ST / PHY / 121
22,PHY 2222,Biophysics,200 / 2nd,PHYSICS,1,ST / PHY / 122
23,PHY 2323,Advanced Electromagnetism,200 / 2nd,PHYSICS,4,ST / PHY / 123
24,PHY 2424,Advanced Classical Mechanics,200 / 2nd,PHYSICS,1,ST / PHY / 124
25,PHY 2525,Electronics for Physicists,300 / 1st,PHYSICS,4,ST / PHY / 125
26,PHY 2626,Laser Physics,300 / 1st,PHYSICS,3,ST / PHY / 171
27,PHY 2727,Medical Physics,300 / 1st,PHYSICS,3,ST / PHY / 172
28,PHY 2828,Physics of Materials,300 / 1st,PHYSICS,1,ST / PHY / 173
29,PHY 2929,Quantum Field Theory,300 / 1st,PHYSICS,1,ST / PHY / 174
30,PHY 3030,General Relativity,300 / 1st,PHYSICS,1,ST / PHY / 175
31,PHY 3131,Fluid Dynamics,300 / 2nd,PHYSICS,2,ST / PHY / 121
32,PHY 3232,Nonlinear Dynamics and Chaos,300 / 2nd,PHYSICS,4,ST / PHY / 122
33,PHY 3333,Space Physics,300 / 2nd,PHYSICS,1,ST / PHY / 123
34,PHY 3434,Atmospheric Physics,300 / 2nd,PHYSICS,4,ST / PHY / 124
35,PHY 3535,Renewable Energy Physics,300 / 2nd,PHYSICS,2,ST / PHY / 125
36,PHY 3636,High-Energy Astrophysics,300 / 2nd,PHYSICS,2,ST / PHY / 171
37,PHY 3737,Quantum Optics,300 / 2nd,PHYSICS,1,ST / PHY / 172
38,PHY 3838,Semiconductor Physics,300 / 2nd,PHYSICS,2,ST / PHY / 173
39,PHY 3939,Radiation Physics,400 / 1st,PHYSICS,1,ST / PHY / 174
40,PHY 4040,Nanophysics,400 / 1st,PHYSICS,2,ST / PHY / 175
41,PHY 4141,Physics of Climate,400 / 1st,PHYSICS,3,ST / PHY / 121
42,PHY 4242,Acoustic Physics,400 / 1st,PHYSICS,3,ST / PHY / 122
43,PHY 4343,Geophysics,400 / 1st,PHYSICS,4,ST / PHY / 123
44,PHY 4444,Accelerator Physics,400 / 1st,PHYSICS,4,ST / PHY / 124
45,PHY 4545,Applied Physics,400 / 2nd,PHYSICS,1,ST / PHY / 125
46,PHY 4646,Advanced Laboratory Techniques,400 / 2nd,PHYSICS,1,ST / PHY / 171
47,PHY 4747,Theoretical Physics,400 / 2nd,PHYSICS,3,ST / PHY / 172
48,PHY 4848,Gravitation and Cosmology,400 / 2nd,PHYSICS,1,ST / PHY / 173
49,PHY 4949,Surface Physics,400 / 2nd,PHYSICS,4,ST / PHY / 174
50,PHY 5050,Foundations of Quantum Mechanics,400 / 2nd,PHYSICS,1,ST / PHY / 175
1,HIS 101,Introduction to World History,100 / 1st,HISTORY,4,ST / HIS / 126
2,HIS 202,Ancient Civilizations,100 / 1st,HISTORY,2,ST / HIS / 127
3,HIS 303,Medieval Europe,100 / 1st,HISTORY,4,ST / HIS / 128
4,HIS 404,Renaissance and Reformation,100 / 1st,HISTORY,3,ST / HIS / 129
5,HIS 505,History of the United States I,100 / 1st,HISTORY,1,ST / HIS / 130
6,HIS 606,History of the United States II,100 / 1st,HISTORY,4,ST / HIS / 176
7,HIS 707,History of Modern Europe,100 / 2nd,HISTORY,3,ST / HIS / 177
8,HIS 808,History of East Asia,100 / 2nd,HISTORY,4,ST / HIS / 178
9,HIS 909,History of Latin America,100 / 2nd,HISTORY,1,ST / HIS / 179
10,HIS 1010,African History,100 / 2nd,HISTORY,2,ST / HIS / 180
11,HIS 1111,History of the Middle East,100 / 2nd,HISTORY,1,ST / HIS / 126
12,HIS 1212,History of Russia,100 / 2nd,HISTORY,2,ST / HIS / 127
13,HIS 1313,Colonial America,200 / 1st,HISTORY,1,ST / HIS / 128
14,HIS 1414,The American Revolution,200 / 1st,HISTORY,4,ST / HIS / 129
15,HIS 1515,The Civil War and Reconstruction,200 / 1st,HISTORY,1,ST / HIS / 130
16,HIS 1616,Twentieth-Century America,200 / 1st,HISTORY,2,ST / HIS / 176
17,HIS 1717,History of the British Empire,200 / 1st,HISTORY,3,ST / HIS / 177
18,HIS 1818,The French Revolution,200 / 1st,HISTORY,3,ST / HIS / 178
19,HIS 1919,World War I,200 / 2nd,HISTORY,4,ST / HIS / 179
20,HIS 2020,World War II,200 / 2nd,HISTORY,2,ST / HIS / 180
21,HIS 2121,History of the Cold War,200 / 2nd,HISTORY,2,ST / HIS / 126
22,HIS 2222,History of Science and Technology,200 / 2nd,HISTORY,4,ST / HIS / 127
23,HIS 2323,Environmental History,200 / 2nd,HISTORY,2,ST / HIS / 128
24,HIS 2424,Women in History,200 / 2nd,HISTORY,4,ST / HIS / 129
25,HIS 2525,History of Slavery,300 / 1st,HISTORY,3,ST / HIS / 130
26,HIS 2626,Indigenous Peoples' History,300 / 1st,HISTORY,1,ST / HIS / 176
27,HIS 2727,Social and Cultural History,300 / 1st,HISTORY,3,ST / HIS / 177
28,HIS 2828,Economic History,300 / 1st,HISTORY,4,ST / HIS / 178
29,HIS 2929,Intellectual History,300 / 1st,HISTORY,3,ST / HIS / 179
30,HIS 3030,History of Religion,300 / 1st,HISTORY,2,ST / HIS / 180
31,HIS 3131,Urban History,300 / 2nd,HISTORY,1,ST / HIS / 126
32,HIS 3232,Public History,300 / 2nd,HISTORY,1,ST / HIS / 127
33,HIS 3333,History of Warfare,300 / 2nd,HISTORY,2,ST / HIS / 128
34,HIS 3434,Diplomatic History,300 / 2nd,HISTORY,4,ST / HIS / 129
35,HIS 3535,History of Medicine,300 / 2nd,HISTORY,3,ST / HIS / 130
36,HIS 3636,History of the Holocaust,300 / 2nd,HISTORY,2,ST / HIS / 176
37,HIS 3737,History of Human Rights,300 / 2nd,HISTORY,3,ST / HIS / 177
38,HIS 3838,History of Immigration,300 / 2nd,HISTORY,2,ST / HIS / 178
39,HIS 3939,History of Education,400 / 1st,HISTORY,4,ST / HIS / 179
40,HIS 4040,Latin American Revolutions,400 / 1st,HISTORY,4,ST / HIS / 180
41,HIS 4141,History of the American West,400 / 1st,HISTORY,3,ST / HIS / 126
42,HIS 4242,The Vietnam War,400 / 1st,HISTORY,4,ST / HIS / 127
43,HIS 4343,Modern African History,400 / 1st,HISTORY,4,ST / HIS / 128
44,HIS 4444,European Intellectual History,400 / 1st,HISTORY,1,ST / HIS / 129
45,HIS 4545,History of South Asia,400 / 2nd,HISTORY,2,ST / HIS / 130
46,HIS 4646,Caribbean History,400 / 2nd,HISTORY,2,ST / HIS / 176
47,HIS 4747,Islamic Civilization,400 / 2nd,HISTORY,4,ST / HIS / 177
48,HIS 4848,The Enlightenment,400 / 2nd,HISTORY,2,ST / HIS / 178
49,HIS 4949,History of Mexico,400 / 2nd,HISTORY,3,ST / HIS / 179
50,HIS 5050,History of Modern Japan,400 / 2nd,HISTORY,1,ST / HIS / 180
1,PSY 101,Introduction to Psychology,100 / 1st,PSYCHOLOGY,2,ST / PSY / 131
2,PSY 202,Developmental Psychology,100 / 1st,PSYCHOLOGY,4,ST / PSY / 132
3,PSY 303,Abnormal Psychology,100 / 1st,PSYCHOLOGY,4,ST / PSY / 133
4,PSY 404,Social Psychology,100 / 1st,PSYCHOLOGY,1,ST / PSY / 134
5,PSY 505,Cognitive Psychology,100 / 1st,PSYCHOLOGY,1,ST / PSY / 135
6,PSY 606,Biological Psychology,100 / 1st,PSYCHOLOGY,2,ST / PSY / 181
7,PSY 707,Personality Psychology,100 / 2nd,PSYCHOLOGY,1,ST / PSY / 182
8,PSY 808,Clinical Psychology,100 / 2nd,PSYCHOLOGY,4,ST / PSY / 183
9,PSY 909,Child Psychology,100 / 2nd,PSYCHOLOGY,2,ST / PSY / 184
10,PSY 1010,Adolescent Psychology,100 / 2nd,PSYCHOLOGY,1,ST / PSY / 185
